Rank,Title
1,Guardians of the Galaxy
2,Prometheus
3,Split
4,Sing
5,Suicide Squad
6,The Great Wall
7,La La Land
8,Mindhorn
9,The Lost City of Z
10,Passengers
11,Fantastic Beasts and Where to Find Them
12,Hidden Figures
13,Rogue One
14,Moana
15,Colossal
16,The Secret Life of Pets
17,Hacksaw Ridge
18,Jason Bourne
19,Lion
20,Arrival
21,Gold
22,Manchester by the Sea
23,Hounds of Love
24,Trolls
25,Independence Day: Resurgence
26,Paris pieds nus
27,Bahubali: The Beginning
28,Dead Awake
29,Bad Moms
30,Assassin's Creed
31,Why Him?
32,Nocturnal Animals
33,X-Men: Apocalypse
34,Deadpool
35,Resident Evil: The Final Chapter
36,Captain America: Civil War
37,Interstellar
38,Doctor Strange
39,The Magnificent Seven
40,5- 25- 77
41,Sausage Party
42,Moonlight
43,Don't Fuck in the Woods
44,The Founder
45,Lowriders
46,Pirates of the Caribbean: On Stranger Tides
47,Miss Sloane
48,Fallen
49,Star Trek Beyond
50,The Last Face
51,Star Wars: Episode VII - The Force Awakens
52,Underworld: Blood Wars
53,Mother's Day
54,John Wick
55,The Dark Knight
56,Silence
57,Don't Breathe
58,Me Before You
59,Their Finest
60,Sully
61,Batman v Superman: Dawn of Justice
62,The Autopsy of Jane Doe
63,The Girl on the Train
64,Fifty Shades of Grey
65,The Prestige
66,Kingsman: The Secret Service
67,Patriots Day
68,Mad Max: Fury Road
69,Wakefield
70,Deepwater Horizon
71,The Promise
72,Allied
73,A Monster Calls